report_name,category,stock_name,title,firm_name,link,texts,article_published_at,created_at,latest_scraped_at,original_id
채권분석,,,[Fed Monitor] 연준 대차대조표 뜯어보기 - 133,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9981&page=1,"자산 감소 10월 22일 기준 연준 전체 자산 규모는 전주 대비 69억달러 감소한 6조 5,895억달러. 3주 만에 감소. 채권 보유량은 MBS 위주 감소. 중장기 국채는 소폭 감소. 대출의 경우 증가했으나, 단기자금시장금리 스프레드는 축소. 부채부문에서는 준비금 감소, TGA 증가. 연준 자산 중 유동성 공급/흡수 배율은 1.79배. 2025년 1월 초 이후 최저치 Fed Monitor[202101053_511_A2_1].pdf",25.10.24,2025-10-27 22:32:56,2025-10-27 22:32:56,9981
채권분석,,,10/27 Kiwoom Fixed Income Weekly Review,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9982&page=1,"지난주 동향 지난주 국내 채권시장은 약세 마감했다. 한국은행 금통위에서의 금리 동결, KOSPI 사상 최고치 경신 랠리 등에 따른 위험 자산 선호 등이 영향을 미치면서 시장 약세 요인으로 작용했다. 국고 3 년물은 전주 대비 4.0bp 상승한 2.580%, 국고 10 년물은 3.8bp 상승한 2.910%에 거래 마감했으며, 국고 3-10 년 스프레드는 33.0bp 로 전주 대비 보합 수준으로 마감했다. 국고채 금리는 주 초반부터 상승 압력을 받았다. 한국은행 금융통화위원회 전 국정감사가 이뤄지는 가운데, 부동산 시장 과열 인식 등에 따라 한국은행의 금리 동결 가능성이 높게 평가된 점이 금리 상승 요인으로 작용했다. 미 연준의 금리 인하 기대는 기정사실화되어 있으나, 최근 수도권 중심의 부동산 가격 상승 압력과 10.15 부동산 규제 정책 효과에 대한 경계감 등에 한국은행의 금리 동결 가능성이 높게 평가된 것이다. 뿐만 아니라 KOSPI 지수가 사상 최고치 경신을 지속하면서 주 후반 들어서는 3,950 선에 근접하여 거래 마감된 점 등 위험자산 선호가 강화된 점 또한 시장금리 상승 요인으로 작용했다. 반도체 중심의 수출 개선 등에 따라 상승세를 이어 나가는 점 등 또한 한국은행의 금리 인하 기대를 다소 약화시키는 요인으로 작용한 것으로 판단한다. 한편 한국은행은 기준금리를 2.50%에 동결하기로 결정했다. 신성환 위원이 금리 인하를 주장하는 소수의견을 제시했으나, 3 개월 내 인하 가능성을 주장한 위원이 지난 회의 5 명에서 4 명으로 축소되었으며, 부동산 가격 상승과 이에 따른 가계대출 증가 우려 등 금융안정에 중점을 둔 정책 결정이었다. 일부 11 월 인하 기대가 남아있기도 하나, 점차 인하 속도가 더뎌질 것이라는 점이 시장 약세 요인으로 작용했다. rfBW626.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9982
채권분석,,,10월 FOMC Preview: 변수는 없을 것,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9983&page=1,"미 연준 10 월 FOMC 는 정책금리를 3.75~4.00%로 인하할 것으로 전망한다. 지난 9 월 FOMC 의 금리 인하 트리거가 미국 고용 둔화였던 가운데, 최근에는 미국 정부 셧다운에 따라 고용 시장 지표 확인이 지연되고 있다. 그럼에도 관세 정책에 따른 수요 둔화 우려 등이 상존하는 상황에서 미 연준은 금리 인하를 단행할 것으로 예상한다. 최근 발표된 미국 물가를 통해서도 수요 둔화 흐름을 확인하고 있다. 관세 정책으로 인해 일부 상품 물가가 상승 압력을 받고 있는 것으로 나타나나, 주거비 등 서비스 물가 둔화 추세가 이어지고 있다. 헤드라인 물가는 재차 3%대로 반등하면서 소폭 상승 압력을 보이고 있으나, 근원물가는 둔화하고 있다는 점, 이는 대부분 주거비 등 서비스업 물가 둔화에서 나타나고 있다는 점 등을 반영하면, 미국 수요가 완만히 둔화되고 있는 것을 확인할 수 있다. 이러한 상황을 고려할 때 최근 나타난 미국 고용 둔화 흐름도 크게 변화하지 않은 것으로 추정할 수 있으며, 미 연준의 추세적 금리 인하 기조는 이어질 것으로 전망한다. 따라서 이번 회의 결정에 변수는 없을 것으로 판단한다. 물론 최근 미중 무역 갈등이 재부각되고 있으나, 이로 인한 물가 상방 리스크 보다는 수요 둔화 우려가 좀더 높은 상황인 것으로 판단된다. 더 나아가 미중 무역갈등 속에 협상 결렬이라는 최악의 상황이 예상되지는 않는다는 점 또한 금리 인하 결정을 유보시킬만한 외부 요인이 있는 것은 아니라고 판단한다. 즉, 12 월까지도 금리 인하를 하는 경로에 대해 큰 이변은 없을 것으로 전망한다. 시장도 이미 내년에도 2 회 추가 인하 기대를 반영하고 있는 상황이며, 10 월 회의에서 이와 같은 시장 기대를 변화시킬 큰 이벤트는 제공되지 않을 것으로 본다. 한편, 10 월 회의에서 QT 종료 언급을 할 가능성이 높게 평가되고 있다. 역레포 잔고 감소에 따라 시중 유동성 경색 우려가 부각되고 있는만큼 QT 종료 시행을 10 월 혹은 12 월 FOMC 에서 언급할 가능성이 거론되고 있다. 이는 장기채 수급에 대해 우호적으로 영향을 미칠 것으로 예상하며, 결국 장기금리 변동성을 낮추는 요인이 될 것이다. 그간 미 재무부의 국채 발행 확대 우려 등에 따라 높아졌던 기간 프리미엄이 미국채 수요 개선 효과 등으로 낮아질 것으로 예상한다. 미국 은행들에 대한 SLR 규제 완화까지 더해질 경우 미국채 수급에 따른 시장금리 변동성이 완화될 것으로 기대하며, 따라서 이는 미국 장기금리 상단을 낮아지게 만드는 효과를 불러올 것으로 예상한다. 미 연준의 추세적인 금리 인하가 이어질 것으로 예상하며, 수급 개선까지 이어지면서 미국채 10 년물 금리는 연말까지 3.75~4.20%의 좁은 박스권에서 등락을 보일 것으로 예상한다. rfIA839.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9983
채권분석,,,Eugenes FICC Update,유진투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9984&page=1,"국내 채권시장 동향 - 국내 채권시장, 장단기물 엇갈리며 혼조 마감. - 미국의 대러시아 제재로 인한 유가 급등, 미국 금리 상승 등으로 장 초반 국내 금리도 상승 출발했으나 상승폭 점차 반납. 전일 금통위로 인한 약세폭 되돌림 나타났음. - 통화당국이 시장상황점검회의를 열고 외환시장 변동에 대해 적기에 대응하겠다는 구두 개입도 영향. 그 외 특별한 재료 없는 가운데 외국인 매매에 연동되며 금리 보합권 마감. 20251027_B_jnkim0526_1014.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9984
채권분석,,,채권 Daily (10.27),유안타증권,https://finance.naver.com/research/debenture_read.naver?nid=9985&page=1,"여천NCC, 주주사 대여금 출자전환 연내가 골든타임 - 여천NCC(A-/N)가 발행한 여러 채권이 크로스디폴트로 묶여 있기 때문에 하나라도 약정을 지키지 못하면 모든 채권에서 기한이익상실 사유가 발생 - 지난 7월 주주사에서 3000억원을 빌려 기존 차입금을 상환했으며 재무비율의 큰 변화는 없이 올 상반기 말 기준 부채비율 338% 기록 - 연말에 예정되어 있는 유무형자산 손상검사가 우려사항으로, 지속된 업황 둔화와 정부 주도의 구조조정이 본격화되면 일시적인 가동률 조정도 가능한 만큼 예측할 수 없는 상황 20251027071352167_0_ko.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9985
채권분석,,,Daily Bond Morning Brief(2025.10.27),다올투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9986&page=1,"전일 국내 채권 시장 요약 - 금리방향: 하락(3Y), 하락(10Y) - 일드커브: 스티프닝 - 스프레드(bp): 국5/3 13.0 (1.0) 국10/3: 33.0 (1.8) 국10/5: 20.0 (0.8) 국30/10: -10.0 (0.5) 20251027_B_jeongin_225.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9986
채권분석,,,"한국 주택시장, 정말 과열인가",하나증권,https://finance.naver.com/research/debenture_read.naver?nid=9987&page=1,"자산 가격의 상승 ≠ 과열 10월 14일 이재명 “부동산 너무 과대평가… 일본처럼 될 가능성… 폭탄 돌리기…” 10월 20일 이창용 “주택시장이 9월 이후 서울을 중심으로 다시 과열 조짐…” 정부와 한은은 주택시장을 ‘과열’ 상태로 진단하고 이를 안정시키기 위한 정책(정부의 6, 9, 10월 부동산 대책 및 한은의 기준금리 동결)을 펼치고 있다. 정책 효과를 논하기 전에 근본적으로 주택시장이 과열인지부터 따져볼 필요가 있다. 자산 가격에 대한 평가를 내리려면 나름의 기준이 있어야 한다. 예를 들어 주가가 상승했다는 이유만으로 주식시장이 과열 혹은 버블이라고 평가할 수 없다. (1) 이익 등 펀더멘털 대비 비율(ex. PER), (2) 멀티플 리레이팅의 합리성, 그리고 (3) 투자자들의 레버리지 강도 등을 고려해야 한다. 올해 코스피의 상승률은 +64.3%다(10/24 기준). 이러한 급등에도 과열로 단정하기 어려운 이유는 (1) 이익 증가가 뒷받침되고 있고, (2) 주주친화 정책과 반도체 등 첨단 산업의 구조적 성장에 대한 기대와 같이 멀티플 확장의 근거가 합리적이며, (3) 신용잔고 비율 등에 비추어볼 때 레버리지도 특별히 과하지 않기 때문이다 [도표 1]. 251024_hanabond.pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9987
채권분석,,,[Readers’ Cut] QT의 마무리,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9988&page=1,"왜 종료하는가? 양적긴축(QT, Quantitative Tightening)은 유동성을 흡수하는 정책. 연준은 만기가 도래하는 채권의 재투자 중단을 통해 2022년 6월부터 QT를 시행. 금번 QT의 목표는 1) 초과유동성의 흡수와, 2) 적정(Ample) 수준까지 준비금을 줄이는 것. 약 3년 4개월 간 연준 자산은 8조 9,143억달러에서 6조 5,895억달러로 2조 3,255억달러 감소. 같은 기간 초과유동성인 역레포 잔고(RRP, Reverse Repurchase Agreements)는 1조 9,650억달러에서 40억달러로 사실상 소진. 3조 3,574억달러였던 준비금도 2조 9,296억달러까지 줄어들었음. GDP 대비 연준 자산, 준비금 비율은 2022년 각각 34.2%, 12.9%에서 현재(2025년 GDP는 IMF 전망치 기준)는 21.5%, 9.6%. 초과유동성은 무의미한 규모로 축소되었고, 준비금은 통상적인 ‘Ample Level’인 GDP 대비 10%를 하회, Waller 이사가 제시한 새로운 ‘Ample Level’인 9%에 근접. 두 가지 목표 모두 달성했거나 달성을 목전에 둔 상황 유동성이 실제로 ‘매우 풍부하지(Abundant)’ 않다는 시그널도 포착되기 시작. 유동성 환경은 1) 단기자금시장금리IORB 스프레드가 (+)로 전환되었음에도 단기자금거래량이 증가하고, 2) 연준의 최종 대부자 시스템이 가동될 경우 특이 사항이 생겼다고(더 이상 매우 풍부하지 않다고) 판단 가능. 단기자금시장금리 스프레드는 분기말을 제외하면 (-)에 머무는 것이 일반적이나 2025년 10월 평균 스프레드는 +3.9bp(8월: -5.4bp → 9월: +0.5bp). 레포시장 거래량도 증가세. 대규모는 아니지만 긴급 자금 수요도 간헐적으로 발생(8~10월 SRF 이용 실적: 2.7억달러 → 66.2억달러 → 14.8억달러) 연준의 유동성 공급 태도 역시 금융시장에 중립적으로 변화 중. 준비금을 제외한 연준 전체 자산을 유동성의 공급과 흡수 성격으로 나눈 값은 1.79배. 2008년 ‘Floor System’ 도입 이후 동 배율의 평균값은 1.95배. 보통 2.00배에 근접했을 때는 금융시장 변동성이 낮게, 1.50배 부근에서는 변동성이 확대되는 경향. 9월 말 재무부가 TGA를 목표수준까지 채운 이후에도 배율은 계속해서 하락 중 QT는 목표를 거의 달성했고, 시장에도 더 이상 유동성이 ‘매우 풍부하지(Abundant)’ 않음이 드러나며, 연준의 자산도 더 이상 유동성을 강력하게 공급하지 않는 수준에 도달했기 때문에 지금은 양적긴축 정책을 마무리해야 할 시점 Readers Cut[202101053_513_A2_2].pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9988
채권분석,,,[FI Weekly] FOMC 프리뷰: 기준금리 인하 QT 종료 시..,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9989&page=1,"연내 미국 기준금리 전망 변경 연내 미국 기준금리 전망(12월 1회 인하, 연말 기준금리 4.00%), 연내 2회 인하로 변경(10, 12월 2회 인하, 연말 기준금리 3.75%). 셧다운으로 확실한 지표를 확인할 길은 없음. 그러나 대략적인 방향을 아는 상황이라면 GPS가 고장 났더라도 멈추는 것보다 일단은 계속해서 가는 것이 안전한 선택 FI Weekly[202101053_512_A2_1].pdf",25.10.27,2025-10-27 22:32:56,2025-10-27 22:32:56,9989
채권분석,,,미국 가계 자산 증대와 소비 양극화,하나증권,https://finance.naver.com/research/debenture_read.naver?nid=9960&page=1,"신용 취약 계층의 소비 위축 2분기까지 발표된 가계 총자산은 약 $197조로 역대 최고치를 기록했으나, 이는 미국 주가 지수 호조에 힘입어 가계 내 주식 보유 비중이 21%로 급등한 결과이다. 반면, 부동산/채권/현금 비중은 모두 감소했다. 미국 GDP 성장률 기여도를 보면 2분기 개인소비가 1.7%로 1분기(0.4%) 대비 큰 폭으로 증가하고, 신용카드 총 잔액(Balance)이 최고치를 기록하며 신용 활용(Credit Utilization) 확대 추세가 이어지는 등 명목상으로는 소비가 활발한 것처럼 보인다. 실제로 모든 신용점수 그룹에서 2분기 신용카드 명목 지출액은 1분기 대비 상승했다. 그러나 인플레이션을 차감한 실질 지출액을 살펴보면 상반된 결과를 보인다. 2분기 말 헤드라인 물가 기준으로 산출한 신용카드 실질 지출액은 신용점수가 높은 소비자들의 경우 2년 전인 2023년 수준에 머물며 소비가 정체되고 있다. 더 우려되는 점은 신용점수가 상대적으로 낮은(720점 미만) 소비자들의 경우 지출액이 오히려 감소했다는 사실이다. 이는 고금리로 인한 가계 재정 약화와 신용카드 대출 이자율 부담 증가가 실질 지출 하락에 기여했다고 판단한다. 팬데믹 직전인 2019년 4분기 대비 실질 지출액을 보더라도, 고신용자(720점 이상)는 10% 이상 상승한 반면, 서브프라임 등급(660점 미만) 소비자는 지출액이 감소하는 등 신용점수가 낮은 소비자들 중심으로 소비가 위축되는 양극화 현상이 뚜렷하다. 이러한 실질 지출 감소는 고금리 환경에서 부채 상환 부담(Debt-to-Income, DTI)이 불균형적으로 증가하는 것과 직접적으로 연결된다. 신용 점수가 낮은 소비자들은 신용카드 잔액을 매월 갚지 않고 이월(Revolve)하는 경향이 강한데, 이월 잔액에 대한 이자 비용(Debt servicing cost)이 급격히 늘어났다. 상업은행의 신용카드 대출 이자율은 8월 기준 21.4%까지 상승해 1995년 이후 최고치에 근접한 수준을 유지하고 있다. 결과적으로 이자 비용 증가는 신용점수가 낮은 소비자들에게 늘어난 상환 부담 때문에 재량적 소비를 축소할 수밖에 없는 상황을 만들고 있다. 신용카드 연체율 역시 높은 수준을 유지하고 있다. 뉴욕 연은(FRBNY)이 발표한 90일 이상 신용카드 연체율은 2분기 12.2%로 소폭 낮아지긴 했으나, 여전히 2011년 1분기 이후 가장 높은 수준을 유지하고 있으며, 미국 100위권 밖 은행들의 연체율도 7.1%로 1991년 이후 최고치에 근접 중이다. 가계 총자산 증가는 상위 계층의 자산 효과에 국한되며, 신용점수가 낮은 소비자층을 중심으로 한 실질 지출 감소는 미국 개인 소비의 지속 가능성에 의문점을 남긴다. 향후 연준이 9월 FOMC를 시작으로 3차례 연속 금리 인하를 단행할 것으로 예상되는 가운데, 연준의 본격적인 금리 인하는 프라임 금리 하락을 통해 신용카드 이자율(APR)을 낮추고, 신용 취약 계층의 이자 비용 부담을 실질적으로 경감시켜 위축된 소비 심리를 회복시키는 촉매제가 될 것으로 판단한다. 당사는 연내 3차례 정책금리 인하 전망을 유지한다. 20251022_dean.pdf",25.10.22,2025-10-27 22:32:56,2025-10-27 22:32:56,9960
