report_name,category,stock_name,title,firm_name,link,texts,article_published_at,created_at,latest_scraped_at,original_id
채권분석,,,10월 금통위; 낮아진 연내 인하 가능성,신한투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9976&page=1,기준금리 2.50% 동결. 향후 3개월 내 인하 가능성 열기 5명 → 4명 축소 10월 기준금리는 2.50%로 동결 결정됐다. 8월 회의와 비슷한 경기 판단이 유지된 가운데 금융불균형 경계가 반영됐다. 10/15 부동산 대책 효과를 확인하기에 시간적 여유가 부족했고 한-미 관세 협상 지연으로 인한 환율 변동성 확대도 주시했다. 일각에서 인하 사이클 종료 가능성까지 제기됐으나 인하 기조는 이어갈 것을 재확인했다. 다만 1명의 인하 소수의견 유지됐으나 향후 3개월 내 인하 가능성 열기 의견을 제시한 위원이 5명에서 4명으로 줄어 인하 시점이 내년으로 지연될 가능성이 높아졌다. 신한투자증권 리서치 탐색기,25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9976
채권분석,,,Eugenes FICC Update,유진투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9977&page=1,"국내 채권시장 동향 - 국내 채권시장 베어 스티프닝 마감. 국고채 3년 금리 2.60% 상회. - 금통위 영향. 통방문 공개 이후 인하 기조가 계속된다는 것을 확인한 뒤 강세를 보였지만, 기자간담회 후 금리 상승해 장 후반으로 갈수록 상승폭 확대. - 소수의견도 제시됐고, 기자간담회가 그리 매파적이지 않았지만 전일 강세 되돌림과 함께 11월 인하를 확신할 수 없다는 인식으로 롱 포지션에 대한 부담감이 증가하면서 매도 출현한 것으로 보임. 20251024_B_jnkim0526_1013.pdf",25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9977
채권분석,,,Daily Bond Morning Brief(2025.10.24),다올투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9978&page=1,"전일 국내 채권 시장 요약 - 금리방향: 상승(3Y), 상승(10Y) - 일드커브: 스티프닝 - 스프레드(bp): 국5/3 12.0 (0.5) 국10/3: 31.2 (0.7) 국10/5: 19.2 (0.2) 국30/10: -10.5 (-0.7) 20251024_B_jeongin_224.pdf",25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9978
채권분석,,,채권 Daily (10.24),유안타증권,https://finance.naver.com/research/debenture_read.naver?nid=9979&page=1,"현대로템, 500억원 규모 회사채 발행 결정 - 현대로템(A+/S)이 500억원 규모의 공모 회사채를 발행할 계획 - 2년물과 3년물 각각 250억원씩 발행할 예정이며, 희망금리밴드는 등급민평금리에 -40bp~+20bp를 가산한 수준으로 제시 - 최대 증액 발행 한도는 800억원이며, 이번에 조달한 자금은 전액 전자어음 결제 등 운영자금으로 사용될 예정 20251024075119337_0_ko.pdf",25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9979
채권분석,,,"[10월 금통위] 연내 동결, 최종 1.75%",하나증권,https://finance.naver.com/research/debenture_read.naver?nid=9980&page=1,"결정 및 배경: 성장 회복세 + 금융안정 부담 확대. 기준금리 3회 연속 동결 한국은행은 10월 금통위에서 기준금리를 2.50%로 3회 연속 동결했다. 통화정책방향문은 ‘성장률 회복세에도 불확실성이 크고, 주택시장 및 가계부채 상황을 지켜볼 필요가 있다’는 기조로 8월과 유사했다. 다만 ‘반도체’ 경기 호조와 ‘환율’ 변동성 확대를 언급하며 성장률 회복에 대한 판단은 소폭 강화되고, 금융안정에 대한 부담은 가중되었음을 시사했다. 지난 8월 선제적 대응을 강조했던 신성환 위원이 이번에도 인하 소수의견을 개진했다. 반면 향후 3개월 가이던스는 하나증권의 전망대로 4명으로 8월보다 한 명만 줄었다. 금융안정을 강조하더라도 인하 사이클이 진행형인 상황에서 내년 1월까지 포함된 기간까지 인하 가능성을 배제하기는 어려웠을 것으로 보인다. 251023_BOK.pdf",25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9980
채권분석,,,[Fed Monitor] 연준 대차대조표 뜯어보기 - 133,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9981&page=1,"자산 감소 10월 22일 기준 연준 전체 자산 규모는 전주 대비 69억달러 감소한 6조 5,895억달러. 3주 만에 감소. 채권 보유량은 MBS 위주 감소. 중장기 국채는 소폭 감소. 대출의 경우 증가했으나, 단기자금시장금리 스프레드는 축소. 부채부문에서는 준비금 감소, TGA 증가. 연준 자산 중 유동성 공급/흡수 배율은 1.79배. 2025년 1월 초 이후 최저치 Fed Monitor[202101053_511_A2_1].pdf",25.10.24,2025-10-27 20:52:49,2025-10-27 20:52:49,9981
채권분석,,,10/27 Kiwoom Fixed Income Weekly Review,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9982&page=1,"지난주 동향 지난주 국내 채권시장은 약세 마감했다. 한국은행 금통위에서의 금리 동결, KOSPI 사상 최고치 경신 랠리 등에 따른 위험 자산 선호 등이 영향을 미치면서 시장 약세 요인으로 작용했다. 국고 3 년물은 전주 대비 4.0bp 상승한 2.580%, 국고 10 년물은 3.8bp 상승한 2.910%에 거래 마감했으며, 국고 3-10 년 스프레드는 33.0bp 로 전주 대비 보합 수준으로 마감했다. 국고채 금리는 주 초반부터 상승 압력을 받았다. 한국은행 금융통화위원회 전 국정감사가 이뤄지는 가운데, 부동산 시장 과열 인식 등에 따라 한국은행의 금리 동결 가능성이 높게 평가된 점이 금리 상승 요인으로 작용했다. 미 연준의 금리 인하 기대는 기정사실화되어 있으나, 최근 수도권 중심의 부동산 가격 상승 압력과 10.15 부동산 규제 정책 효과에 대한 경계감 등에 한국은행의 금리 동결 가능성이 높게 평가된 것이다. 뿐만 아니라 KOSPI 지수가 사상 최고치 경신을 지속하면서 주 후반 들어서는 3,950 선에 근접하여 거래 마감된 점 등 위험자산 선호가 강화된 점 또한 시장금리 상승 요인으로 작용했다. 반도체 중심의 수출 개선 등에 따라 상승세를 이어 나가는 점 등 또한 한국은행의 금리 인하 기대를 다소 약화시키는 요인으로 작용한 것으로 판단한다. 한편 한국은행은 기준금리를 2.50%에 동결하기로 결정했다. 신성환 위원이 금리 인하를 주장하는 소수의견을 제시했으나, 3 개월 내 인하 가능성을 주장한 위원이 지난 회의 5 명에서 4 명으로 축소되었으며, 부동산 가격 상승과 이에 따른 가계대출 증가 우려 등 금융안정에 중점을 둔 정책 결정이었다. 일부 11 월 인하 기대가 남아있기도 하나, 점차 인하 속도가 더뎌질 것이라는 점이 시장 약세 요인으로 작용했다. rfBW626.pdf",25.10.27,2025-10-27 20:52:49,2025-10-27 20:52:49,9982
채권분석,,,10월 FOMC Preview: 변수는 없을 것,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9983&page=1,"미 연준 10 월 FOMC 는 정책금리를 3.75~4.00%로 인하할 것으로 전망한다. 지난 9 월 FOMC 의 금리 인하 트리거가 미국 고용 둔화였던 가운데, 최근에는 미국 정부 셧다운에 따라 고용 시장 지표 확인이 지연되고 있다. 그럼에도 관세 정책에 따른 수요 둔화 우려 등이 상존하는 상황에서 미 연준은 금리 인하를 단행할 것으로 예상한다. 최근 발표된 미국 물가를 통해서도 수요 둔화 흐름을 확인하고 있다. 관세 정책으로 인해 일부 상품 물가가 상승 압력을 받고 있는 것으로 나타나나, 주거비 등 서비스 물가 둔화 추세가 이어지고 있다. 헤드라인 물가는 재차 3%대로 반등하면서 소폭 상승 압력을 보이고 있으나, 근원물가는 둔화하고 있다는 점, 이는 대부분 주거비 등 서비스업 물가 둔화에서 나타나고 있다는 점 등을 반영하면, 미국 수요가 완만히 둔화되고 있는 것을 확인할 수 있다. 이러한 상황을 고려할 때 최근 나타난 미국 고용 둔화 흐름도 크게 변화하지 않은 것으로 추정할 수 있으며, 미 연준의 추세적 금리 인하 기조는 이어질 것으로 전망한다. 따라서 이번 회의 결정에 변수는 없을 것으로 판단한다. 물론 최근 미중 무역 갈등이 재부각되고 있으나, 이로 인한 물가 상방 리스크 보다는 수요 둔화 우려가 좀더 높은 상황인 것으로 판단된다. 더 나아가 미중 무역갈등 속에 협상 결렬이라는 최악의 상황이 예상되지는 않는다는 점 또한 금리 인하 결정을 유보시킬만한 외부 요인이 있는 것은 아니라고 판단한다. 즉, 12 월까지도 금리 인하를 하는 경로에 대해 큰 이변은 없을 것으로 전망한다. 시장도 이미 내년에도 2 회 추가 인하 기대를 반영하고 있는 상황이며, 10 월 회의에서 이와 같은 시장 기대를 변화시킬 큰 이벤트는 제공되지 않을 것으로 본다. 한편, 10 월 회의에서 QT 종료 언급을 할 가능성이 높게 평가되고 있다. 역레포 잔고 감소에 따라 시중 유동성 경색 우려가 부각되고 있는만큼 QT 종료 시행을 10 월 혹은 12 월 FOMC 에서 언급할 가능성이 거론되고 있다. 이는 장기채 수급에 대해 우호적으로 영향을 미칠 것으로 예상하며, 결국 장기금리 변동성을 낮추는 요인이 될 것이다. 그간 미 재무부의 국채 발행 확대 우려 등에 따라 높아졌던 기간 프리미엄이 미국채 수요 개선 효과 등으로 낮아질 것으로 예상한다. 미국 은행들에 대한 SLR 규제 완화까지 더해질 경우 미국채 수급에 따른 시장금리 변동성이 완화될 것으로 기대하며, 따라서 이는 미국 장기금리 상단을 낮아지게 만드는 효과를 불러올 것으로 예상한다. 미 연준의 추세적인 금리 인하가 이어질 것으로 예상하며, 수급 개선까지 이어지면서 미국채 10 년물 금리는 연말까지 3.75~4.20%의 좁은 박스권에서 등락을 보일 것으로 예상한다. rfIA839.pdf",25.10.27,2025-10-27 20:52:49,2025-10-27 20:52:49,9983
채권분석,,,Eugenes FICC Update,유진투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9984&page=1,"국내 채권시장 동향 - 국내 채권시장, 장단기물 엇갈리며 혼조 마감. - 미국의 대러시아 제재로 인한 유가 급등, 미국 금리 상승 등으로 장 초반 국내 금리도 상승 출발했으나 상승폭 점차 반납. 전일 금통위로 인한 약세폭 되돌림 나타났음. - 통화당국이 시장상황점검회의를 열고 외환시장 변동에 대해 적기에 대응하겠다는 구두 개입도 영향. 그 외 특별한 재료 없는 가운데 외국인 매매에 연동되며 금리 보합권 마감. 20251027_B_jnkim0526_1014.pdf",25.10.27,2025-10-27 20:52:49,2025-10-27 20:52:49,9984
채권분석,,,채권 Daily (10.27),유안타증권,https://finance.naver.com/research/debenture_read.naver?nid=9985&page=1,"여천NCC, 주주사 대여금 출자전환 연내가 골든타임 - 여천NCC(A-/N)가 발행한 여러 채권이 크로스디폴트로 묶여 있기 때문에 하나라도 약정을 지키지 못하면 모든 채권에서 기한이익상실 사유가 발생 - 지난 7월 주주사에서 3000억원을 빌려 기존 차입금을 상환했으며 재무비율의 큰 변화는 없이 올 상반기 말 기준 부채비율 338% 기록 - 연말에 예정되어 있는 유무형자산 손상검사가 우려사항으로, 지속된 업황 둔화와 정부 주도의 구조조정이 본격화되면 일시적인 가동률 조정도 가능한 만큼 예측할 수 없는 상황 20251027071352167_0_ko.pdf",25.10.27,2025-10-27 20:52:49,2025-10-27 20:52:49,9985
