report_name,category,stock_name,title,firm_name,link,texts,article_published_at,created_at,latest_scraped_at,original_id
채권분석,,,10/27 Kiwoom Fixed Income Weekly Review,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9982&page=1,"지난주 동향 지난주 국내 채권시장은 약세 마감했다. 한국은행 금통위에서의 금리 동결, KOSPI 사상 최고치 경신 랠리 등에 따른 위험 자산 선호 등이 영향을 미치면서 시장 약세 요인으로 작용했다. 국고 3 년물은 전주 대비 4.0bp 상승한 2.580%, 국고 10 년물은 3.8bp 상승한 2.910%에 거래 마감했으며, 국고 3-10 년 스프레드는 33.0bp 로 전주 대비 보합 수준으로 마감했다. 국고채 금리는 주 초반부터 상승 압력을 받았다. 한국은행 금융통화위원회 전 국정감사가 이뤄지는 가운데, 부동산 시장 과열 인식 등에 따라 한국은행의 금리 동결 가능성이 높게 평가된 점이 금리 상승 요인으로 작용했다. 미 연준의 금리 인하 기대는 기정사실화되어 있으나, 최근 수도권 중심의 부동산 가격 상승 압력과 10.15 부동산 규제 정책 효과에 대한 경계감 등에 한국은행의 금리 동결 가능성이 높게 평가된 것이다. 뿐만 아니라 KOSPI 지수가 사상 최고치 경신을 지속하면서 주 후반 들어서는 3,950 선에 근접하여 거래 마감된 점 등 위험자산 선호가 강화된 점 또한 시장금리 상승 요인으로 작용했다. 반도체 중심의 수출 개선 등에 따라 상승세를 이어 나가는 점 등 또한 한국은행의 금리 인하 기대를 다소 약화시키는 요인으로 작용한 것으로 판단한다. 한편 한국은행은 기준금리를 2.50%에 동결하기로 결정했다. 신성환 위원이 금리 인하를 주장하는 소수의견을 제시했으나, 3 개월 내 인하 가능성을 주장한 위원이 지난 회의 5 명에서 4 명으로 축소되었으며, 부동산 가격 상승과 이에 따른 가계대출 증가 우려 등 금융안정에 중점을 둔 정책 결정이었다. 일부 11 월 인하 기대가 남아있기도 하나, 점차 인하 속도가 더뎌질 것이라는 점이 시장 약세 요인으로 작용했다. rfBW626.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9982
채권분석,,,10월 FOMC Preview: 변수는 없을 것,키움증권,https://finance.naver.com/research/debenture_read.naver?nid=9983&page=1,"미 연준 10 월 FOMC 는 정책금리를 3.75~4.00%로 인하할 것으로 전망한다. 지난 9 월 FOMC 의 금리 인하 트리거가 미국 고용 둔화였던 가운데, 최근에는 미국 정부 셧다운에 따라 고용 시장 지표 확인이 지연되고 있다. 그럼에도 관세 정책에 따른 수요 둔화 우려 등이 상존하는 상황에서 미 연준은 금리 인하를 단행할 것으로 예상한다. 최근 발표된 미국 물가를 통해서도 수요 둔화 흐름을 확인하고 있다. 관세 정책으로 인해 일부 상품 물가가 상승 압력을 받고 있는 것으로 나타나나, 주거비 등 서비스 물가 둔화 추세가 이어지고 있다. 헤드라인 물가는 재차 3%대로 반등하면서 소폭 상승 압력을 보이고 있으나, 근원물가는 둔화하고 있다는 점, 이는 대부분 주거비 등 서비스업 물가 둔화에서 나타나고 있다는 점 등을 반영하면, 미국 수요가 완만히 둔화되고 있는 것을 확인할 수 있다. 이러한 상황을 고려할 때 최근 나타난 미국 고용 둔화 흐름도 크게 변화하지 않은 것으로 추정할 수 있으며, 미 연준의 추세적 금리 인하 기조는 이어질 것으로 전망한다. 따라서 이번 회의 결정에 변수는 없을 것으로 판단한다. 물론 최근 미중 무역 갈등이 재부각되고 있으나, 이로 인한 물가 상방 리스크 보다는 수요 둔화 우려가 좀더 높은 상황인 것으로 판단된다. 더 나아가 미중 무역갈등 속에 협상 결렬이라는 최악의 상황이 예상되지는 않는다는 점 또한 금리 인하 결정을 유보시킬만한 외부 요인이 있는 것은 아니라고 판단한다. 즉, 12 월까지도 금리 인하를 하는 경로에 대해 큰 이변은 없을 것으로 전망한다. 시장도 이미 내년에도 2 회 추가 인하 기대를 반영하고 있는 상황이며, 10 월 회의에서 이와 같은 시장 기대를 변화시킬 큰 이벤트는 제공되지 않을 것으로 본다. 한편, 10 월 회의에서 QT 종료 언급을 할 가능성이 높게 평가되고 있다. 역레포 잔고 감소에 따라 시중 유동성 경색 우려가 부각되고 있는만큼 QT 종료 시행을 10 월 혹은 12 월 FOMC 에서 언급할 가능성이 거론되고 있다. 이는 장기채 수급에 대해 우호적으로 영향을 미칠 것으로 예상하며, 결국 장기금리 변동성을 낮추는 요인이 될 것이다. 그간 미 재무부의 국채 발행 확대 우려 등에 따라 높아졌던 기간 프리미엄이 미국채 수요 개선 효과 등으로 낮아질 것으로 예상한다. 미국 은행들에 대한 SLR 규제 완화까지 더해질 경우 미국채 수급에 따른 시장금리 변동성이 완화될 것으로 기대하며, 따라서 이는 미국 장기금리 상단을 낮아지게 만드는 효과를 불러올 것으로 예상한다. 미 연준의 추세적인 금리 인하가 이어질 것으로 예상하며, 수급 개선까지 이어지면서 미국채 10 년물 금리는 연말까지 3.75~4.20%의 좁은 박스권에서 등락을 보일 것으로 예상한다. rfIA839.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9983
채권분석,,,Eugenes FICC Update,유진투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9984&page=1,"국내 채권시장 동향 - 국내 채권시장, 장단기물 엇갈리며 혼조 마감. - 미국의 대러시아 제재로 인한 유가 급등, 미국 금리 상승 등으로 장 초반 국내 금리도 상승 출발했으나 상승폭 점차 반납. 전일 금통위로 인한 약세폭 되돌림 나타났음. - 통화당국이 시장상황점검회의를 열고 외환시장 변동에 대해 적기에 대응하겠다는 구두 개입도 영향. 그 외 특별한 재료 없는 가운데 외국인 매매에 연동되며 금리 보합권 마감. 20251027_B_jnkim0526_1014.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9984
채권분석,,,채권 Daily (10.27),유안타증권,https://finance.naver.com/research/debenture_read.naver?nid=9985&page=1,"여천NCC, 주주사 대여금 출자전환 연내가 골든타임 - 여천NCC(A-/N)가 발행한 여러 채권이 크로스디폴트로 묶여 있기 때문에 하나라도 약정을 지키지 못하면 모든 채권에서 기한이익상실 사유가 발생 - 지난 7월 주주사에서 3000억원을 빌려 기존 차입금을 상환했으며 재무비율의 큰 변화는 없이 올 상반기 말 기준 부채비율 338% 기록 - 연말에 예정되어 있는 유무형자산 손상검사가 우려사항으로, 지속된 업황 둔화와 정부 주도의 구조조정이 본격화되면 일시적인 가동률 조정도 가능한 만큼 예측할 수 없는 상황 20251027071352167_0_ko.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9985
채권분석,,,Daily Bond Morning Brief(2025.10.27),다올투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9986&page=1,"전일 국내 채권 시장 요약 - 금리방향: 하락(3Y), 하락(10Y) - 일드커브: 스티프닝 - 스프레드(bp): 국5/3 13.0 (1.0) 국10/3: 33.0 (1.8) 국10/5: 20.0 (0.8) 국30/10: -10.0 (0.5) 20251027_B_jeongin_225.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9986
채권분석,,,"한국 주택시장, 정말 과열인가",하나증권,https://finance.naver.com/research/debenture_read.naver?nid=9987&page=1,"자산 가격의 상승 ≠ 과열 10월 14일 이재명 “부동산 너무 과대평가… 일본처럼 될 가능성… 폭탄 돌리기…” 10월 20일 이창용 “주택시장이 9월 이후 서울을 중심으로 다시 과열 조짐…” 정부와 한은은 주택시장을 ‘과열’ 상태로 진단하고 이를 안정시키기 위한 정책(정부의 6, 9, 10월 부동산 대책 및 한은의 기준금리 동결)을 펼치고 있다. 정책 효과를 논하기 전에 근본적으로 주택시장이 과열인지부터 따져볼 필요가 있다. 자산 가격에 대한 평가를 내리려면 나름의 기준이 있어야 한다. 예를 들어 주가가 상승했다는 이유만으로 주식시장이 과열 혹은 버블이라고 평가할 수 없다. (1) 이익 등 펀더멘털 대비 비율(ex. PER), (2) 멀티플 리레이팅의 합리성, 그리고 (3) 투자자들의 레버리지 강도 등을 고려해야 한다. 올해 코스피의 상승률은 +64.3%다(10/24 기준). 이러한 급등에도 과열로 단정하기 어려운 이유는 (1) 이익 증가가 뒷받침되고 있고, (2) 주주친화 정책과 반도체 등 첨단 산업의 구조적 성장에 대한 기대와 같이 멀티플 확장의 근거가 합리적이며, (3) 신용잔고 비율 등에 비추어볼 때 레버리지도 특별히 과하지 않기 때문이다 [도표 1]. 251024_hanabond.pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9987
채권분석,,,[Readers’ Cut] QT의 마무리,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9988&page=1,"왜 종료하는가? 양적긴축(QT, Quantitative Tightening)은 유동성을 흡수하는 정책. 연준은 만기가 도래하는 채권의 재투자 중단을 통해 2022년 6월부터 QT를 시행. 금번 QT의 목표는 1) 초과유동성의 흡수와, 2) 적정(Ample) 수준까지 준비금을 줄이는 것. 약 3년 4개월 간 연준 자산은 8조 9,143억달러에서 6조 5,895억달러로 2조 3,255억달러 감소. 같은 기간 초과유동성인 역레포 잔고(RRP, Reverse Repurchase Agreements)는 1조 9,650억달러에서 40억달러로 사실상 소진. 3조 3,574억달러였던 준비금도 2조 9,296억달러까지 줄어들었음. GDP 대비 연준 자산, 준비금 비율은 2022년 각각 34.2%, 12.9%에서 현재(2025년 GDP는 IMF 전망치 기준)는 21.5%, 9.6%. 초과유동성은 무의미한 규모로 축소되었고, 준비금은 통상적인 ‘Ample Level’인 GDP 대비 10%를 하회, Waller 이사가 제시한 새로운 ‘Ample Level’인 9%에 근접. 두 가지 목표 모두 달성했거나 달성을 목전에 둔 상황 유동성이 실제로 ‘매우 풍부하지(Abundant)’ 않다는 시그널도 포착되기 시작. 유동성 환경은 1) 단기자금시장금리IORB 스프레드가 (+)로 전환되었음에도 단기자금거래량이 증가하고, 2) 연준의 최종 대부자 시스템이 가동될 경우 특이 사항이 생겼다고(더 이상 매우 풍부하지 않다고) 판단 가능. 단기자금시장금리 스프레드는 분기말을 제외하면 (-)에 머무는 것이 일반적이나 2025년 10월 평균 스프레드는 +3.9bp(8월: -5.4bp → 9월: +0.5bp). 레포시장 거래량도 증가세. 대규모는 아니지만 긴급 자금 수요도 간헐적으로 발생(8~10월 SRF 이용 실적: 2.7억달러 → 66.2억달러 → 14.8억달러) 연준의 유동성 공급 태도 역시 금융시장에 중립적으로 변화 중. 준비금을 제외한 연준 전체 자산을 유동성의 공급과 흡수 성격으로 나눈 값은 1.79배. 2008년 ‘Floor System’ 도입 이후 동 배율의 평균값은 1.95배. 보통 2.00배에 근접했을 때는 금융시장 변동성이 낮게, 1.50배 부근에서는 변동성이 확대되는 경향. 9월 말 재무부가 TGA를 목표수준까지 채운 이후에도 배율은 계속해서 하락 중 QT는 목표를 거의 달성했고, 시장에도 더 이상 유동성이 ‘매우 풍부하지(Abundant)’ 않음이 드러나며, 연준의 자산도 더 이상 유동성을 강력하게 공급하지 않는 수준에 도달했기 때문에 지금은 양적긴축 정책을 마무리해야 할 시점 Readers Cut[202101053_513_A2_2].pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9988
채권분석,,,[FI Weekly] FOMC 프리뷰: 기준금리 인하 QT 종료 시..,한화투자증권,https://finance.naver.com/research/debenture_read.naver?nid=9989&page=1,"연내 미국 기준금리 전망 변경 연내 미국 기준금리 전망(12월 1회 인하, 연말 기준금리 4.00%), 연내 2회 인하로 변경(10, 12월 2회 인하, 연말 기준금리 3.75%). 셧다운으로 확실한 지표를 확인할 길은 없음. 그러나 대략적인 방향을 아는 상황이라면 GPS가 고장 났더라도 멈추는 것보다 일단은 계속해서 가는 것이 안전한 선택 FI Weekly[202101053_512_A2_1].pdf",25.10.27,2025-10-27 21:57:58,2025-10-27 21:57:58,9989
경제분석,,,신한 FX Check-up,신한투자증권,https://finance.naver.com/research/economy_read.naver?nid=12566&page=1,"달러 강보합에도 원화 약세 부각 속 1,430원대 - 달러화지수 98pt대 강보합권 등락. 주요 지표 발표 부재 속 전주 불거졌던 지역은행 불안 일부 완화돼 달러화 등락 제한. 주 후반 트럼프 대통령 차주 시진핑 주석과 회담 일정 확정하며 무역 긴장감 일부 완화. 금일 발표될 미국 9월 소비자물가 대기 - 달러/유로 1.16달러대에서 약보합. S&P 프랑스 신용등급 강등으로 유로화 하방 우위. ECB 라가르드 총재의 유로존 인플레이션 상하방 리스크 범위 축소됐다는 발언에 유로화 하단 지지 요인. 엔/달러 152엔대로 상승 압력 지속. 다카이치 총리 당선된 가운데 재정 부양책 추진 발언으로 엔화 약세 부각 - 원/달러 1,430원대까지 속등. 대외 강 달러 압력 제한적이었음에도 교역 불확실성에 연동된 영향. 대미 투자협상 난항 겪는 가운데 관련 우려 부각되며 원화 약세. 금통위 회의에서는 기준금리 동결 결정되며 영향력 제한 신한투자증권 리서치 탐색기",25.10.27,2025-10-27 21:57:59,2025-10-27 21:57:59,12566
경제분석,,,신한 Econ Check-up,신한투자증권,https://finance.naver.com/research/economy_read.naver?nid=12567&page=1,"예상된 중국 경기 둔화, 한국 금리 동결 - 중국 3분기 GDP 및 9월 주요 동행지표는 예상에 부합한 경기 둔화 확인. 3분기 GDP 전년대비 4.8% 성장해 2분기(+5.2%)보다 성장세 둔화. 성장세 부진은 소비와 투자 영향. 소매판매 9월 3.0% 증가에 그쳐. 고정자산투자는 부동산 부진(-13.9%) 심화된 가운데 제조업(+4.0%)도 과당경쟁 방지 정책 영향에 증가세 둔화 지속 - 중국 4중전회에서 첨단 제조업 중심 산업 고도화 강조했으나 세부 내용 및 추가 부양책 부재. G2 무역 갈등 완화에 부양책 속도 조절 판단 - 한국 금통위에서 기준금리 2.50% 동결 결정. 1명 인하 소수의견 유지됐으나 향후 3개월 내 인하 가능성 의견 5명에서 4명으로 축소. 경기 상하방 위험 확대에도 최근 부동산 경기 과열 등 금융 불균형 속 환율 변동성 확대 위험 경계감 높아진 까닭. 향후 인하 경로에 대한 구체적 언급 회피 - 미-중 무역 갈등 완화 기대 부상. 백악관에서 APEC 정상회의 기간 중 10월 30일 트럼프 대통령과 시진핑 주석 정상회담 개최 발표. 반면 러시아와 정상회담 무산 발표와 함께 재무부 러시아 에너지 제재 강화 발표. 한국과 미국간 투자 협상은 3,500억달러 지불 방식에 대해 논의 진행 신한투자증권 리서치 탐색기",25.10.27,2025-10-27 21:57:59,2025-10-27 21:57:59,12567
경제분석,,,"2026년 경제 전망: 3가지 축(미-중 패권, AI 생태계 ..",iM증권,https://finance.naver.com/research/economy_read.naver?nid=12568&page=1,"26년 글로벌 경제는 소 걸음 경기 사이클 지속 - 미-중간 패권 전쟁 지속에 따른 글로벌 교역 사이클의 더딘 회복, 중국 저성장 및 다양한 양극화(국가, 업종 및 소득별 양극화) 등으로 26년 글로벌 성장률은 25년과 유사한 수준을 기록할 것으로 예상됨 - 단, AI 패권 격화 등으로 미국과 중국 모두 독자적 AI 공급망(=생태계) 구축을 위한 중복 투자 현상 심화는 AI 투자 사이클의 지속 가능성을 높일 것임 [24155800]_251867.pdf",25.10.27,2025-10-27 21:57:59,2025-10-27 21:57:59,12568
